timestamp_1hz,anger_idx,arousal,comtempt_idx,disgust_idx,fear_idx,happy_idx,neutral_idx,sad_idx,surprise_idx,timestamp,valence,emotion
80,0.058496896,-0.18818484,0.004321603,0.00091369194,0.08210269,0.0009945312,0.3159329,0.45829093,0.07894679,80.47916666666667,-0.52751476,Sadness
81,0.043341603,-0.16637695,0.0042122276,0.0010011325,0.18016267,0.0010440707,0.26318708,0.36339045,0.14366078,81.47916666666667,-0.4695549,Sadness
82,0.030042911,-0.038753938,0.0018889563,0.00076912274,0.31469455,0.0008360178,0.15372391,0.28305712,0.21498741,82.47916666666667,-0.43525672,Fear
83,0.025477303,-0.22815384,0.01266849,0.00083448103,0.13797408,0.010338597,0.1767308,0.5643277,0.071648516,83.47916666666667,-0.49403748,Sadness
84,0.038986146,-0.16036427,0.07554793,0.0014276196,0.033317953,0.10992537,0.43706036,0.25180998,0.05192465,84.47916666666667,-0.07788015,Neutral
85,0.0495322,-0.1393858,0.019712297,0.00074094,0.10850818,0.0068740877,0.32921484,0.41204885,0.07336862,85.47916666666667,-0.39611843,Sadness
86,0.092586696,0.06816142,0.0018191873,0.0024551037,0.24491514,0.0009977388,0.19991486,0.3219006,0.13541068,86.47916666666667,-0.4738425,Sadness
87,0.060341205,0.23381929,0.00075592945,0.0015175119,0.3818618,0.00043920273,0.131079,0.17965893,0.24434642,87.47916666666667,-0.41304174,Fear
88,0.07440771,0.16446014,0.0007796532,0.0030279013,0.3413504,0.00035713112,0.17248307,0.18523397,0.22236013,88.47916666666667,-0.38781917,Fear
89,0.066970944,0.2045642,0.000923093,0.0022276014,0.35306695,0.00045090515,0.1622038,0.15494914,0.25920755,89.47916666666667,-0.35135174,Fear
90,0.038115397,0.14629261,0.00076594733,0.0012686766,0.33695677,0.0003515707,0.1433918,0.17451906,0.30463073,90.47916666666667,-0.35514238,Fear
91,0.030652272,0.23169531,0.0005562846,0.0013300871,0.4539878,0.00034146744,0.11500538,0.11792666,0.28020003,91.47916666666667,-0.31237632,Fear
92,0.043147966,0.17846663,0.0011650376,0.0014040759,0.37485352,0.0006770228,0.16210374,0.14267518,0.27397344,92.47916666666667,-0.31594896,Fear
93,0.0404214,0.055165436,0.0015956032,0.0010533646,0.3510501,0.0006451402,0.19467093,0.22001445,0.19054902,93.47916666666667,-0.36103547,Fear
94,0.045603428,0.011826515,0.0015699099,0.0018189029,0.30588523,0.00074272597,0.21190245,0.275304,0.15717335,94.47916666666667,-0.42366007,Fear
95,0.07315917,-0.09826946,0.10791617,0.002469022,0.09338623,0.023011172,0.29894316,0.34007645,0.06103866,95.47916666666667,-0.3627372,Sadness
